0,1,2,3,4
239.0,1043.0,322.0,407.0,389.0
240.0,1037.0,323.0,409.0,391.0
241.0,1035.0,325.0,408.0,391.0
242.0,1029.0,326.0,410.0,393.0
243.0,1027.0,326.0,410.0,394.0
245.0,1021.0,325.0,414.0,395.0
246.0,1019.0,325.0,413.0,397.0
247.0,1012.0,327.0,413.0,401.0
249.0,1011.0,328.0,412.0,400.0
251.0,1005.0,327.0,415.0,402.0
253.0,999.0,329.0,414.0,405.0
255.0,997.0,329.0,415.0,404.0
257.0,995.0,329.0,416.0,403.0
259.0,986.0,329.0,418.0,408.0
263.0,984.0,329.0,418.0,406.0
265.0,981.0,329.0,419.0,406.0
268.0,977.0,327.0,419.0,409.0
270.0,973.0,330.0,418.0,409.0
271.0,967.0,330.0,422.0,410.0
272.0,963.0,331.0,423.0,411.0
272.0,961.0,333.0,422.0,412.0
272.0,956.0,334.0,422.0,416.0
272.0,951.0,335.0,424.0,418.0
272.0,949.0,336.0,424.0,419.0
272.0,945.0,337.0,425.0,421.0
272.0,941.0,339.0,425.0,423.0
273.0,937.0,340.0,426.0,424.0
274.0,933.0,340.0,428.0,425.0
276.0,928.0,340.0,431.0,425.0
277.0,927.0,343.0,428.0,425.0
279.0,922.0,345.0,429.0,425.0
280.0,918.0,345.0,430.0,427.0
282.0,915.0,347.0,430.0,426.0
283.0,911.0,348.0,431.0,427.0
285.0,909.0,348.0,432.0,426.0
287.0,905.0,350.0,433.0,425.0
288.0,901.0,352.0,435.0,424.0
289.0,899.0,354.0,433.0,425.0
291.0,894.0,352.0,436.0,427.0
296.0,890.0,349.0,436.0,429.0
301.0,888.0,344.0,437.0,430.0
304.0,883.0,343.0,438.0,432.0
306.0,881.0,342.0,438.0,433.0
306.0,878.0,344.0,438.0,434.0
306.0,875.0,346.0,437.0,436.0
306.0,873.0,346.0,438.0,437.0
306.0,869.0,346.0,440.0,439.0
306.0,866.0,348.0,439.0,441.0
306.0,864.0,349.0,440.0,441.0
308.0,859.0,350.0,441.0,442.0
310.0,856.0,351.0,442.0,441.0
312.0,855.0,352.0,442.0,439.0
315.0,849.0,354.0,441.0,441.0
317.0,848.0,354.0,442.0,439.0
320.0,847.0,355.0,442.0,436.0
323.0,840.0,357.0,443.0,437.0
324.0,839.0,358.0,443.0,436.0
324.0,838.0,359.0,443.0,436.0
324.0,833.0,360.0,443.0,440.0
324.0,832.0,360.0,444.0,440.0
324.0,830.0,363.0,443.0,440.0
324.0,825.0,363.0,444.0,444.0
324.0,823.0,363.0,446.0,444.0
324.0,821.0,365.0,446.0,444.0
324.0,818.0,366.0,446.0,446.0
324.0,815.0,367.0,447.0,447.0
324.0,815.0,367.0,447.0,447.0
324.0,811.0,368.0,448.0,449.0
325.0,806.0,368.0,449.0,452.0
326.0,806.0,368.0,448.0,452.0
326.0,803.0,369.0,449.0,453.0
327.0,801.0,369.0,448.0,455.0
328.0,798.0,368.0,450.0,456.0
329.0,797.0,370.0,448.0,456.0
334.0,794.0,369.0,449.0,454.0
339.0,792.0,369.0,450.0,450.0
346.0,790.0,370.0,449.0,445.0
351.0,788.0,369.0,451.0,441.0
352.0,785.0,369.0,451.0,443.0
352.0,782.0,370.0,451.0,445.0
353.0,781.0,370.0,451.0,445.0
354.0,779.0,370.0,451.0,446.0
354.0,775.0,370.0,453.0,448.0
355.0,774.0,370.0,452.0,449.0
355.0,772.0,372.0,452.0,449.0
356.0,769.0,371.0,454.0,450.0
356.0,767.0,372.0,453.0,452.0
357.0,765.0,373.0,452.0,453.0
357.0,765.0,373.0,452.0,453.0
358.0,762.0,373.0,453.0,454.0
358.0,758.0,374.0,453.0,457.0
359.0,757.0,375.0,452.0,457.0
359.0,755.0,376.0,453.0,457.0
360.0,754.0,375.0,453.0,458.0
360.0,749.0,375.0,455.0,461.0
361.0,749.0,376.0,453.0,461.0
361.0,748.0,376.0,454.0,461.0
361.0,747.0,377.0,454.0,461.0
361.0,745.0,378.0,454.0,462.0
362.0,741.0,378.0,456.0,463.0
367.0,740.0,379.0,456.0,458.0
371.0,739.0,380.0,456.0,454.0
375.0,737.0,381.0,458.0,449.0
379.0,733.0,381.0,458.0,449.0
380.0,732.0,383.0,457.0,448.0
380.0,732.0,383.0,457.0,448.0
380.0,731.0,383.0,458.0,448.0
380.0,727.0,385.0,457.0,451.0
380.0,725.0,385.0,457.0,453.0
380.0,724.0,386.0,457.0,453.0
380.0,723.0,387.0,457.0,453.0
380.0,721.0,388.0,457.0,454.0
380.0,718.0,388.0,458.0,456.0
380.0,716.0,389.0,458.0,457.0
380.0,715.0,389.0,459.0,457.0
380.0,714.0,390.0,459.0,457.0
380.0,712.0,391.0,458.0,459.0
381.0,710.0,390.0,459.0,460.0
381.0,708.0,391.0,459.0,461.0
381.0,708.0,391.0,459.0,461.0
381.0,706.0,393.0,458.0,462.0
382.0,704.0,392.0,460.0,462.0
382.0,703.0,392.0,461.0,462.0
382.0,702.0,394.0,460.0,462.0
382.0,700.0,394.0,461.0,463.0
382.0,698.0,395.0,461.0,464.0
384.0,697.0,395.0,461.0,463.0
385.0,695.0,396.0,461.0,463.0
387.0,695.0,396.0,461.0,461.0
389.0,693.0,397.0,461.0,460.0
391.0,692.0,397.0,460.0,460.0
393.0,689.0,397.0,461.0,460.0
394.0,688.0,399.0,460.0,459.0
397.0,687.0,398.0,460.0,458.0
398.0,686.0,399.0,460.0,457.0
400.0,684.0,400.0,460.0,456.0
401.0,683.0,401.0,459.0,456.0
403.0,681.0,400.0,460.0,456.0
405.0,679.0,401.0,461.0,454.0
405.0,679.0,401.0,461.0,454.0
406.0,677.0,401.0,461.0,455.0
406.0,675.0,401.0,462.0,456.0
406.0,675.0,401.0,463.0,455.0
406.0,673.0,402.0,463.0,456.0
406.0,671.0,402.0,463.0,458.0
407.0,670.0,402.0,463.0,458.0
408.0,669.0,402.0,463.0,458.0
408.0,667.0,402.0,463.0,460.0
408.0,666.0,403.0,463.0,460.0
408.0,665.0,403.0,464.0,460.0
409.0,664.0,403.0,463.0,461.0
409.0,662.0,403.0,464.0,462.0
409.0,660.0,403.0,465.0,463.0
409.0,660.0,404.0,464.0,463.0
409.0,659.0,404.0,464.0,464.0
409.0,658.0,405.0,463.0,465.0
410.0,658.0,404.0,463.0,465.0
411.0,656.0,405.0,463.0,465.0
412.0,654.0,405.0,464.0,465.0
413.0,654.0,405.0,464.0,464.0
414.0,653.0,406.0,464.0,463.0
414.0,650.0,406.0,465.0,465.0
416.0,650.0,406.0,464.0,464.0
417.0,649.0,406.0,465.0,463.0
418.0,647.0,407.0,465.0,463.0
419.0,647.0,407.0,466.0,461.0
420.0,646.0,409.0,465.0,460.0
420.0,644.0,409.0,466.0,461.0
422.0,643.0,409.0,465.0,461.0
423.0,641.0,410.0,465.0,461.0
424.0,640.0,410.0,466.0,460.0
